[2016-04-03 15:41:36.306] [INFO] request - -----------------------Invoke---------------------
[2016-04-03 15:41:36.310] [INFO] request - log4js Ok.
[2016-04-03 15:41:36.310] [INFO] request - logger Ok.
[2016-04-03 15:41:36.311] [INFO] request - express Ok.
[2016-04-03 15:41:36.311] [INFO] request - fs Ok.
[2016-04-03 15:41:36.311] [INFO] request - config Ok.
[2016-04-03 15:41:36.311] [INFO] request - path Ok.
[2016-04-03 15:41:36.342] [INFO] request - favicon Ok.
[2016-04-03 15:41:36.369] [INFO] request - cookieParser Ok.
[2016-04-03 15:41:36.377] [INFO] request - bodyParser Ok.
[2016-04-03 15:41:36.432] [INFO] request - passport Ok.
[2016-04-03 15:41:36.448] [INFO] request - LocalStrategy Ok.
[2016-04-03 15:41:36.589] [INFO] request - FacebookStrategy Ok.
[2016-04-03 15:41:36.775] [INFO] request - session Ok.
